ax,ay,az,gx,gy,gz
-758,-2298,-221,-76,1363,920
-837,-2339,-290,11,1128,1005
-937,-2390,-263,127,1028,1069
-1124,-2413,-202,220,962,1079
-1310,-2418,-183,286,983,1006
-1458,-2420,-218,347,1061,884
-1504,-2396,-220,414,1083,796
-1557,-2325,-179,476,984,773
-1699,-2299,-129,523,741,795
-1811,-2272,-13,562,527,758
-1896,-2255,28,566,449,624
-1950,-2244,-26,563,434,461
-1883,-2233,-66,609,367,313
-1782,-2166,-37,696,233,232
-1759,-2078,61,771,78,197
-1729,-2041,167,811,-169,165
-1687,-2001,246,815,-334,99
-1673,-1934,299,791,-403,8
-1691,-1904,343,750,-495,-81
-1610,-1885,415,704,-554,-213
-1478,-1875,358,609,-542,-358
-1359,-1875,273,558,-540,-440
-1270,-1828,292,571,-663,-472
-1154,-1771,359,555,-838,-502
-1025,-1739,389,492,-936,-545
-866,-1711,343,420,-990,-598
-762,-1654,289,374,-1018,-657
-663,-1591,278,339,-964,-722
-563,-1537,270,293,-907,-787
-496,-1457,225,239,-902,-820
-455,-1388,166,201,-1019,-805
-458,-1324,168,191,-1177,-784
-451,-1243,260,183,-1319,-790
-397,-1159,327,111,-1414,-845
-288,-1123,264,-16,-1397,-938
-203,-1136,150,-106,-1337,-1026
-41,-1132,105,-155,-1237,-1142
188,-1115,31,-205,-1137,-1229
354,-1129,-48,-235,-1088,-1224
450,-1140,-119,-231,-1121,-1171
492,-1133,-94,-198,-1178,-1111
555,-1121,-10,-185,-1208,-1080
642,-1126,60,-216,-1196,-1081
732,-1118,71,-272,-1139,-1085
861,-1158,32,-326,-1094,-1071
963,-1207,-71,-362,-1103,-1005
1009,-1228,-91,-351,-1109,-911
999,-1211,-49,-362,-1027,-877
977,-1225,-83,-429,-899,-888
993,-1234,-131,-478,-802,-892
1038,-1222,-119,-515,-823,-850
1038,-1218,-145,-589,-844,-803
1038,-1269,-197,-663,-839,-776
1115,-1303,-249,-711,-813,-786
1181,-1364,-322,-739,-747,-783
1209,-1426,-370,-727,-728,-750
1249,-1437,-317,-695,-689,-744
1343,-1453,-279,-697,-565,-750
1442,-1521,-284,-717,-419,-729
1489,-1604,-301,-719,-278,-706
1657,-1628,-262,-703,-164,-689
1871,-1641,-237,-734,-141,-584
2001,-1714,-276,-789,-119,-416
2050,-1793,-307,-811,-78,-254
2016,-1825,-339,-811,-46,-106
2030,-1824,-369,-815,70,-24
2108,-1886,-429,-844,246,54
2142,-1938,-495,-834,332,203
2054,-1988,-529,-799,440,346
1938,-2029,-562,-772,623,419
1916,-2042,-590,-741,809,450
