ax,ay,az,gx,gy,gz
-2264,-2100,10,734,558,302
-2354,-2091,-5,783,426,180
-2368,-2043,62,850,287,13
-2311,-1972,125,868,186,-151
-2242,-1952,136,843,72,-286
-2147,-1926,124,832,-56,-408
-2041,-1866,111,836,-182,-500
-1919,-1805,44,847,-341,-538
-1772,-1742,18,893,-556,-544
-1733,-1668,135,966,-742,-542
-1678,-1545,307,985,-930,-566
-1571,-1460,419,908,-1030,-616
-1475,-1427,440,791,-1053,-680
-1343,-1379,440,694,-1069,-763
-1172,-1335,429,614,-1120,-831
-1055,-1345,407,557,-1158,-865
-992,-1300,421,547,-1199,-902
-875,-1202,512,536,-1263,-977
-776,-1131,602,475,-1231,-1052
-733,-1087,646,389,-1186,-1121
-568,-1053,612,287,-1198,-1214
-477,-979,539,192,-1268,-1235
-502,-960,469,101,-1351,-1257
-366,-990,356,12,-1346,-1394
-213,-973,292,-30,-1198,-1541
-206,-977,237,-49,-1119,-1600
-45,-970,193,-58,-1195,-1629
199,-950,193,-75,-1300,-1616
280,-953,215,-102,-1376,-1534
401,-992,170,-172,-1333,-1533
535,-993,72,-227,-1231,-1552
665,-1015,48,-226,-1210,-1535
885,-1045,69,-230,-1194,-1530
1029,-1026,14,-252,-1060,-1495
1033,-1017,26,-241,-1017,-1386
1059,-999,123,-233,-1100,-1268
1133,-952,188,-285,-1107,-1203
1104,-965,176,-379,-1039,-1148
1096,-1012,129,-433,-1003,-1102
1249,-1036,109,-466,-1023,-1074
1317,-1045,121,-489,-1007,-994
1453,-1061,110,-542,-954,-945
1584,-1068,49,-606,-858,-895
1575,-1123,59,-626,-827,-779
1664,-1141,137,-643,-812,-713
1732,-1173,208,-704,-756,-655
1747,-1215,241,-791,-676,-605
1843,-1255,163,-905,-509,-602
1906,-1349,19,-980,-344,-540
1903,-1404,-2,-964,-377,-388
1866,-1450,53,-964,-412,-248
1860,-1515,15,-1021,-324,-163
1953,-1581,-90,-1069,-242,-103
2022,-1653,-168,-1079,-122,-37
2064,-1735,-224,-1075,17,25
2154,-1829,-228,-1059,184,69
2202,-1887,-201,-1051,356,123
2262,-1931,-176,-1067,526,182
2344,-1940,-189,-1103,692,269
2353,-1913,-291,-1148,807,423
2349,-1892,-416,-1164,849,631
2333,-1851,-493,-1145,804,903
2207,-1834,-541,-1117,748,1209
1935,-1767,-549,-1086,697,1489
1624,-1736,-589,-1090,694,1668
1378,-1751,-669,-1101,829,1736
1184,-1735,-716,-1084,981,1762
963,-1709,-723,-1062,1107,1779
691,-1661,-721,-1050,1238,1786
464,-1628,-762,-1051,1279,1784
304,-1630,-849,-1037,1241,1799
174,-1605,-790,-974,1174,1832
60,-1523,-722,-952,1104,1816
-61,-1497,-743,-984,1153,1756
-163,-1512,-732,-988,1282,1651
-245,-1471,-685,-995,1418,1523
-299,-1445,-651,-1042,1533,1428
-311,-1441,-661,-1116,1577,1395
-361,-1449,-745,-1189,1583,1439
-496,-1483,-798,-1205,1415,1565
-657,-1534,-795,-1187,1109,1702
-840,-1567,-745,-1163,888,1771
-1075,-1573,-737,-1164,811,1750
-1340,-1633,-760,-1200,895,1615
-1521,-1653,-811,-1224,1152,1378
-1633,-1657,-786,-1229,1251,1178
-1688,-1705,-750,-1249,1136,1050
-1673,-1732,-705,-1269,948,970
-1683,-1765,-653,-1291,732,924
-1759,-1838,-616,-1320,560,882
-1810,-1962,-639,-1349,401,819
-1828,-2054,-675,-1364,254,713
-1915,-2108,-758,-1401,219,562
-2010,-2210,-949,-1453,311,376
