ax,ay,az,gx,gy,gz
1814,211,-234,-963,1703,-7465
1941,197,-286,-960,2360,-7339
2081,60,-510,-829,2661,-7067
2458,21,-921,-458,2095,-6517
3038,120,-1247,223,709,-5584
3567,280,-1253,1070,-822,-4371
3949,476,-887,1801,-1862,-3164
4116,709,-296,2194,-2206,-2159
4125,881,222,2150,-2085,-1442
4009,883,536,1796,-1693,-979
3669,772,627,1278,-1046,-734
3304,625,375,763,-419,-636
3136,488,37,476,-120,-580
3181,386,-154,459,-96,-508
3375,427,-188,571,-140,-390
3541,518,-71,660,-213,-179
3594,598,80,657,-192,75
3601,659,201,586,-65,292
3565,665,304,469,123,468
3536,633,332,313,273,635
3539,631,358,171,327,843
3477,559,437,30,339,1133
3377,466,477,-133,373,1438
3264,391,410,-301,436,1730
3143,317,238,-435,452,2057
3003,191,51,-491,403,2428
2882,109,-83,-470,361,2791
2721,44,-119,-419,356,3121
2496,-16,-100,-379,357,3409
2256,-74,-50,-362,358,3644
2037,-146,-11,-363,405,3803
1857,-217,58,-406,484,3910
1734,-301,90,-510,585,3978
1636,-393,55,-652,710,4039
1562,-450,-37,-783,814,4137
1420,-543,-161,-887,875,4275
1225,-644,-279,-946,820,4432
1048,-724,-412,-937,678,4583
920,-813,-536,-871,483,4743
924,-869,-585,-738,308,4909
849,-927,-566,-598,172,5089
658,-965,-487,-500,-3,5315
497,-1014,-431,-422,-114,5504
397,-1053,-388,-370,-201,5622
328,-1088,-412,-363,-305,5741
146,-1134,-511,-358,-427,5924
-213,-1196,-628,-302,-603,6141
-570,-1267,-726,-151,-905,6315
-890,-1314,-699,117,-1350,6408
-1190,-1293,-553,418,-1793,6414
-1431,-1252,-335,669,-2149,6348
-1673,-1200,-144,851,-2427,6228
-2020,-1179,85,975,-2666,6034
-2509,-1227,395,994,-2554,5638
-3093,-1319,663,849,-1909,4960
-3598,-1439,647,562,-962,4067
-3912,-1587,287,268,-38,3101
-3991,-1728,-63,146,477,2203
-3825,-1773,-96,266,483,1413
-3471,-1710,107,443,251,804
-3171,-1622,361,452,56,419
-3026,-1612,512,285,7,159
-2912,-1640,561,90,-24,-113
-2730,-1658,545,-90,-53,-397
-2572,-1701,436,-266,-84,-617
-2517,-1768,319,-383,-124,-792
-2498,-1819,237,-416,-147,-997
-2436,-1848,147,-398,-235,-1211
-2382,-1867,81,-356,-394,-1397
-2363,-1858,94,-300,-547,-1584
-2310,-1813,141,-283,-655,-1811
-2184,-1788,172,-330,-646,-2082
-2022,-1750,167,-408,-573,-2366
-1870,-1704,157,-506,-463,-2632
-1731,-1713,102,-611,-295,-2889
-1598,-1730,10,-691,-182,-3132
-1492,-1751,-145,-720,-109,-3350
-1408,-1756,-287,-669,-6,-3571
-1339,-1752,-403,-570,61,-3808
-1308,-1730,-462,-442,137,-4094
-1272,-1640,-451,-317,256,-4464
-1152,-1488,-418,-237,347,-4876
-955,-1357,-397,-205,416,-5286
-689,-1231,-408,-198,505,-5663
-411,-1120,-452,-180,608,-5988
-133,-1009,-509,-130,668,-6238
163,-908,-535,-43,679,-6409
449,-803,-514,51,656,-6503
741,-713,-515,134,703,-6566
1041,-615,-493,238,822,-6633
1276,-491,-422,324,1059,-6672
1454,-360,-295,367,1374,-6657
1637,-240,-118,410,1645,-6603
1858,-142,69,456,1836,-6486
2103,12,216,480,1896,-6246
