ax,ay,az,gx,gy,gz
-1554,-1661,-420,-169,116,102
-1505,-1702,-468,-186,362,-422
-1243,-1687,-387,-208,972,-1072
-1205,-1822,-569,-199,1670,-1676
-1342,-1873,-692,-101,1535,-1857
-1369,-1800,-682,-6,1029,-1814
-1257,-1676,-557,105,601,-1551
-1161,-1573,-458,124,409,-1296
-1110,-1620,-477,51,291,-1191
-1036,-1692,-509,38,89,-1118
-799,-1666,-463,92,-45,-1071
-395,-1599,-382,87,4,-1053
-250,-1666,-406,-27,316,-1029
-417,-1850,-493,-185,590,-905
-578,-2005,-627,-274,529,-652
-682,-2129,-715,-239,246,-331
-643,-2169,-760,-158,-158,1
-509,-2135,-782,-54,-599,385
-468,-2018,-661,65,-977,781
-513,-1891,-542,102,-1186,1038
-578,-1858,-522,129,-1278,1250
-662,-1751,-465,191,-1372,1571
-658,-1647,-360,153,-1302,1706
-713,-1693,-377,60,-1008,1651
-878,-1787,-440,33,-745,1541
-989,-1764,-438,68,-579,1364
-1093,-1680,-378,96,-352,1062
-1152,-1519,-314,71,48,616
-1213,-1417,-214,10,745,14
-1465,-1391,-186,-127,1525,-730
-1810,-1386,-246,-280,2106,-1696
-1960,-1586,-493,-363,2397,-2579
-1723,-1757,-639,-357,1932,-2635
-1223,-1882,-633,-251,1242,-2466
-955,-2081,-686,-218,859,-2156
-922,-2203,-804,-157,441,-1611
-805,-2077,-759,32,-80,-1097
-600,-1870,-577,177,-392,-746
-383,-1718,-451,170,-484,-520
-284,-1693,-465,62,-512,-342
-306,-1722,-498,-34,-603,-131
-313,-1736,-489,-53,-761,141
-316,-1780,-488,-49,-907,486
-389,-1883,-479,-90,-1006,866
-493,-1960,-474,-108,-1127,1195
-589,-2006,-501,-57,-1223,1472
-690,-2128,-600,87,-1355,1793
-637,-1892,-551,329,-1601,2129
-664,-1690,-399,309,-1346,2093
-784,-1668,-326,134,-552,1647
-931,-1700,-378,6,186,1059
-1005,-1632,-403,-60,573,539
-1017,-1543,-449,-178,824,180
-1036,-1525,-517,-304,1023,-133
-1188,-1555,-528,-357,1137,-450
-1329,-1590,-514,-410,1252,-793
-1357,-1667,-504,-469,1334,-1068
-1345,-1768,-552,-488,1516,-1227
-1281,-1866,-660,-471,1540,-1234
-1138,-1923,-682,-397,1341,-1135
-899,-1922,-668,-279,1273,-1081
-808,-1915,-667,-172,1344,-1087
-836,-1923,-702,-129,1308,-1098
-824,-1898,-740,-81,1183,-1116
-759,-1820,-687,-24,929,-1068
-668,-1770,-649,-45,673,-952
-585,-1814,-697,-153,457,-792
-564,-1932,-776,-235,159,-598
-547,-2075,-889,-220,-251,-351
-558,-2154,-1015,-98,-861,-38
-539,-2174,-997,89,-1424,216
-296,-2168,-904,271,-1476,273
