ax,ay,az,gx,gy,gz
4,-1649,-523,-3046,401,-566
224,-1582,-515,-2898,725,-723
272,-1640,-529,-2937,1760,-800
207,-1590,-739,-3162,2873,-809
-124,-1783,-1280,-3217,2119,-1182
732,-1908,-1460,-2432,-1134,-1375
1248,-1733,-1431,-1844,-197,-920
569,-2117,-1321,-1551,2521,-756
141,-1899,-783,-905,3034,-666
241,-1728,-168,-704,3131,-636
150,-1790,273,-914,3850,-723
-90,-1636,481,-1475,4297,-985
148,-1544,389,-2391,4169,-1538
768,-1682,33,-3206,5150,-2084
178,-2000,-1382,-3640,7708,-2631
2410,-2406,-5325,-2321,4287,-2805
1764,-2045,-1925,1069,710,-1876
-8,-2061,-357,1793,2087,-1595
25,-2187,323,1653,1623,-1865
636,-1708,712,1166,2367,-2116
431,-1389,930,207,4015,-2341
-55,-1584,1022,-449,5614,-2928
-268,-1505,975,-1065,5793,-3864
148,-1584,753,-1634,5146,-4924
648,-1853,570,-1600,5319,-5940
6302,-2039,-241,-394,7391,-6244
4852,-976,-393,902,13164,-4391
2815,-917,1871,1264,10186,-2535
1880,-888,2329,1096,3519,-1194
1925,-1099,1335,509,-3858,-465
2172,-1407,29,369,-7903,38
1925,-1651,-633,425,-7948,114
1868,-1829,-738,732,-5638,-181
2182,-1662,-307,1013,-1620,-735
2804,-1548,197,872,3626,-1370
2982,-1419,875,558,7821,-1453
2493,-1279,1727,109,9093,-1117
1771,-1076,2327,-378,6498,-532
1524,-1108,2131,-679,1411,7
1860,-1134,1069,-614,-2569,406
2084,-1330,241,-465,-3712,528
2051,-1547,-114,-323,-2883,555
1880,-1476,-130,-111,-1344,504
1773,-1356,165,144,176,264
1794,-1313,603,227,1392,-37
1905,-1313,930,110,1951,-183
2120,-1357,1133,-97,1801,-126
2143,-1319,1223,-391,1398,107
1855,-1258,1044,-761,878,343
1658,-1321,674,-917,140,444
1707,-1396,374,-841,-256,437
1852,-1379,239,-671,122,296
2003,-1375,300,-534,969,192
1937,-1334,508,-525,1620,214
1744,-1315,642,-598,1683,267
1606,-1351,691,-630,1399,268
1579,-1371,752,-510,1122,208
1752,-1396,796,-414,866,96
1940,-1406,826,-420,743,96
1890,-1383,836,-472,648,212
1719,-1375,742,-537,379,301
1645,-1388,568,-596,116,280
1662,-1415,449,-650,147,175
1733,-1460,476,-659,540,36
1763,-1442,654,-569,1064,-38
914,-1464,934,-532,1045,-41
756,-1716,628,-689,-191,34
2715,-1114,470,-535,601,-354
2615,-1251,576,-632,1743,-79
1995,-1297,866,-616,1641,558
1895,-1252,820,-652,929,724
1919,-1325,361,-735,485,904
1771,-1358,39,-663,729,1060
