ax,ay,az,gx,gy,gz
1215,-2407,-1489,1800,-825,-955
1213,-2374,-1468,1837,-754,-970
1285,-2309,-1395,1908,-667,-993
1330,-2239,-1293,1979,-530,-1012
1307,-2216,-1244,1981,-367,-986
1305,-2164,-1194,1971,-234,-935
1359,-2074,-1096,1935,-153,-838
1381,-2023,-1017,1883,-141,-698
1376,-1968,-963,1830,-124,-609
1410,-1879,-951,1790,-75,-548
1456,-1777,-910,1748,-54,-469
1403,-1714,-846,1713,26,-418
1356,-1628,-760,1669,170,-423
1392,-1520,-649,1575,315,-432
1385,-1476,-575,1450,487,-432
1344,-1434,-560,1345,637,-422
1310,-1332,-533,1258,742,-387
1233,-1271,-501,1154,827,-323
1164,-1245,-473,1068,867,-277
1137,-1167,-434,1027,867,-214
1066,-1062,-343,976,845,-95
999,-964,-201,861,848,28
953,-862,-65,696,885,107
899,-835,-37,501,900,179
852,-834,-26,350,939,224
881,-784,15,226,1007,219
867,-825,-28,85,1064,232
846,-903,-174,4,1215,186
898,-907,-238,4,1406,133
838,-874,-222,18,1473,199
708,-854,-210,7,1430,304
652,-809,-201,-33,1306,427
685,-778,-177,-90,1151,556
773,-813,-208,-158,1123,642
696,-901,-284,-179,1111,713
536,-936,-305,-121,1127,730
580,-902,-229,-86,1210,694
640,-872,-123,-119,1341,737
559,-861,1,-195,1392,879
382,-877,80,-275,1292,1015
210,-851,139,-337,1135,1097
72,-797,215,-378,912,1152
-35,-744,270,-409,805,1119
-40,-738,239,-483,850,1001
86,-745,167,-560,916,901
181,-810,113,-627,1055,849
41,-909,21,-684,1191,848
-149,-973,-46,-687,1255,816
-182,-962,-30,-670,1300,731
-194,-918,33,-636,1310,698
-307,-940,85,-605,1321,684
-447,-936,110,-571,1263,653
-532,-886,171,-521,1126,599
-544,-849,278,-522,1005,529
-440,-808,339,-610,987,499
-401,-796,331,-761,1019,494
-537,-904,265,-961,1165,508
-698,-1014,121,-1137,1365,528
-889,-1073,30,-1199,1478,607
-1121,-1175,33,-1211,1466,649
-1280,-1231,-22,-1266,1414,593
-1345,-1347,-134,-1340,1349,544
-1401,-1487,-220,-1379,1221,511
-1429,-1549,-249,-1368,1143,417
-1424,-1594,-261,-1338,1184,231
-1408,-1678,-310,-1349,1316,7
-1440,-1734,-348,-1380,1391,-133
-1523,-1815,-247,-1421,1324,-164
-1605,-1944,-241,-1485,1169,-160
-1679,-2041,-367,-1461,967,-124
-1740,-2133,-451,-1360,770,-90
-1693,-2214,-561,-1344,557,-75
-1539,-2311,-741,-1352,371,-55
-1526,-2440,-847,-1246,333,1
-1654,-2560,-846,-1149,289,28
-1709,-2578,-806,-1065,181,-31
-1697,-2632,-708,-973,151,-146
-1494,-2690,-764,-938,58,-231
-1319,-2631,-828,-875,-139,-147
-1350,-2566,-758,-791,-365,-17
-1281,-2506,-653,-789,-609,8
-1277,-2488,-614,-819,-692,2
-1437,-2533,-698,-845,-677,-47
-1511,-2607,-800,-834,-710,-168
-1472,-2664,-847,-806,-776,-319
-1346,-2775,-943,-826,-839,-452
-1213,-2891,-1080,-817,-864,-587
-1053,-2957,-1242,-762,-877,-701
-930,-3011,-1314,-680,-911,-734
-889,-3028,-1376,-598,-1002,-721
-836,-3058,-1455,-516,-1168,-728
-806,-3101,-1446,-406,-1380,-704
-813,-3096,-1409,-296,-1477,-746
-722,-3114,-1413,-232,-1496,-877
-558,-3162,-1485,-183,-1504,-1019
-474,-3245,-1617,-132,-1480,-1145
-379,-3248,-1696,-9,-1549,-1198
-213,-3132,-1594,163,-1677,-1222
-111,-3136,-1546,218,-1736,-1278
-34,-3157,-1597,233,-1725,-1341
31,-3144,-1625,335,-1740,-1389
117,-3154,-1636,421,-1786,-1423
252,-3178,-1686,479,-1823,-1456
456,-3153,-1756,551,-1812,-1489
617,-3178,-1811,637,-1762,-1501
750,-3172,-1843,756,-1710,-1533
907,-3126,-1806,895,-1676,-1537
1065,-3096,-1824,999,-1594,-1511
1218,-3080,-1875,1105,-1501,-1463
1266,-3072,-1905,1237,-1461,-1367
1383,-3078,-1967,1400,-1431,-1245
1540,-2980,-1863,1607,-1375,-1136
1565,-2810,-1693,1728,-1248,-1066
1481,-2711,-1576,1763,-1074,-988
1408,-2547,-1468,1807,-1032,-899
1403,-2432,-1326,1808,-1056,-805
1397,-2353,-1217,1793,-1029,-671
1261,-2227,-1132,1783,-1000,-503
1175,-2089,-1008,1747,-979,-385
1105,-1998,-937,1674,-879,-363
1012,-1967,-937,1606,-701,-424
1025,-1935,-945,1559,-526,-532
1177,-1930,-985,1524,-369,-624
1262,-1926,-1023,1543,-243,-669
1362,-1852,-992,1553,-124,-689
1417,-1806,-891,1506,12,-619
1445,-1741,-819,1451,125,-511
1397,-1654,-728,1405,251,-479
1297,-1617,-657,1346,422,-511
1255,-1629,-594,1280,616,-559
1235,-1573,-527,1217,747,-568
1179,-1511,-399,1158,845,-562
1205,-1512,-382,1049,960,-533
1208,-1497,-454,969,1021,-445
1109,-1474,-476,947,1081,-365
1146,-1423,-459,909,1159,-305
1116,-1362,-400,880,1191,-195
979,-1284,-291,833,1203,-59
876,-1182,-185,737,1175,49
769,-1151,-113,599,1132,158
637,-1180,-198,447,1154,221
483,-1207,-317,368,1173,256
374,-1206,-390,348,1169,285
293,-1238,-384,348,1169,308
247,-1209,-307,343,1171,301
261,-1192,-293,320,1233,237
336,-1106,-286,310,1376,144
316,-1050,-232,284,1486,111
246,-994,-139,230,1476,179
210,-919,17,149,1385,266
194,-925,88,47,1297,348
125,-905,118,-32,1219,448
48,-875,107,-110,1237,497
-24,-897,58,-182,1273,519
-37,-953,-9,-209,1288,517
-74,-945,-2,-182,1334,490
-183,-898,139,-188,1355,491
-265,-871,257,-266,1348,435
-246,-935,301,-338,1348,358
-231,-936,307,-372,1387,312
-289,-949,332,-436,1414,278
-288,-1002,350,-504,1393,260
-254,-1048,318,-550,1363,266
-255,-1080,289,-569,1303,298
-307,-1087,269,-590,1233,339
-402,-1148,225,-619,1177,355
-424,-1185,243,-613,1147,310
-438,-1140,293,-640,1165,256
-468,-1179,290,-720,1163,222
-506,-1212,304,-786,1103,218
-538,-1200,364,-852,1027,246
-599,-1210,438,-943,961,260
-687,-1256,442,-1046,926,233
-739,-1296,383,-1115,855,201
-776,-1324,328,-1144,804,179
-775,-1332,299,-1192,778,148
-754,-1349,239,-1262,731,141
-780,-1466,152,-1310,702,139
-861,-1513,100,-1329,647,141
-944,-1621,106,-1337,549,139
-922,-1664,171,-1331,448,96
-959,-1669,157,-1366,403,35
-1012,-1705,144,-1424,379,-39
-962,-1683,135,-1493,397,-123
-997,-1730,21,-1584,465,-222
-1086,-1881,-160,-1661,461,-298
-1093,-2002,-267,-1663,358,-369
-1013,-2122,-322,-1620,241,-435
-954,-2221,-380,-1557,109,-424
-987,-2224,-373,-1501,-51,-342
-939,-2281,-363,-1484,-176,-309
-829,-2287,-365,-1470,-279,-315
-845,-2346,-470,-1510,-333,-313
-905,-2508,-612,-1521,-412,-299
-887,-2565,-682,-1471,-536,-308
-911,-2611,-701,-1420,-582,-328
-912,-2708,-754,-1369,-626,-345
-844,-2803,-862,-1284,-757,-329
-786,-2804,-898,-1156,-936,-245
-771,-2746,-814,-1037,-1102,-181
-842,-2713,-706,-987,-1163,-224
-886,-2715,-671,-994,-1192,-318
-797,-2774,-745,-1011,-1222,-458
-649,-2856,-923,-1031,-1200,-614
-607,-2973,-1096,-1025,-1185,-683
-594,-3003,-1133,-965,-1306,-681
-508,-3020,-1161,-899,-1412,-726
-436,-3087,-1281,-842,-1433,-819
-354,-3132,-1440,-764,-1490,-875
-351,-3147,-1498,-624,-1539,-909
-350,-3161,-1493,-489,-1566,-970
-231,-3140,-1490,-387,-1619,-1047
-150,-3102,-1480,-291,-1640,-1124
-81,-3081,-1540,-225,-1634,-1233
17,-3062,-1598,-148,-1667,-1309
138,-2983,-1569,-52,-1708,-1354
318,-2996,-1669,13,-1668,-1431
547,-3029,-1798,146,-1625,-1473
716,-3013,-1839,328,-1579,-1430
766,-3006,-1845,462,-1541,-1317
815,-2951,-1779,559,-1565,-1183
847,-2886,-1714,634,-1579,-1100
843,-2864,-1683,702,-1553,-1078
862,-2825,-1671,773,-1491,-1093
868,-2807,-1682,821,-1397,-1113
819,-2804,-1704,876,-1336,-1091
844,-2738,-1660,976,-1314,-1078
983,-2670,-1639,1056,-1272,-1099
1017,-2642,-1662,1129,-1237,-1060
1015,-2614,-1667,1223,-1227,-989
1107,-2514,-1561,1310,-1241,-932
1100,-2422,-1438,1333,-1138,-891
