ax,ay,az,gx,gy,gz
1191,620,1235,-23,-149,1188
1214,596,1155,-107,-167,1096
1208,582,1067,-156,-143,1050
1178,577,978,-174,-91,1022
1131,579,916,-158,-22,988
1092,579,885,-126,30,934
1078,577,860,-92,63,864
1088,576,827,-62,103,794
1093,563,801,-22,128,732
1109,555,794,24,142,667
1137,552,793,69,165,594
1150,521,784,122,206,537
1167,569,806,195,252,480
1191,560,786,241,355,422
1162,560,852,328,419,443
1097,557,882,383,390,478
1039,579,893,431,365,389
1094,583,945,477,363,196
1202,582,1006,492,338,88
1222,613,1038,505,329,80
1156,641,1072,541,392,67
1129,647,1148,598,484,12
1137,658,1268,639,597,-58
1182,650,1369,640,696,-114
1177,626,1456,640,799,-154
1082,634,1539,619,895,-213
990,665,1589,547,908,-335
972,702,1590,453,818,-545
1050,741,1575,359,668,-812
1214,777,1527,267,482,-1065
1391,799,1482,215,320,-1255
1512,796,1471,216,243,-1362
1598,786,1508,248,245,-1389
1684,750,1590,302,329,-1345
1653,697,1707,379,540,-1244
1516,669,1806,435,787,-1130
1360,695,1866,423,979,-1069
1246,785,1909,375,1047,-1123
1227,895,1956,304,982,-1311
1344,985,1976,198,802,-1563
1543,1061,1973,105,539,-1784
1723,1102,1977,61,275,-1938
1844,1062,2005,43,98,-2013
1811,968,2012,21,-5,-2009
1699,871,2016,-20,-71,-1987
1625,760,2002,-105,-142,-1991
1630,647,1882,-221,-219,-2020
1694,512,1711,-309,-236,-2029
1749,388,1552,-340,-213,-1977
1795,277,1456,-328,-182,-1869
1830,190,1417,-299,-154,-1719
1840,149,1357,-255,-134,-1552
1860,139,1316,-196,-98,-1376
1890,158,1297,-106,-29,-1178
1907,180,1326,22,78,-966
1914,198,1403,154,192,-742
1872,228,1546,275,320,-531
1767,267,1736,324,399,-362
1680,302,1870,278,377,-257
1617,353,1901,168,304,-208
1551,379,1884,48,213,-205
1500,379,1832,-70,117,-228
1453,389,1753,-171,28,-255
1414,403,1688,-249,-57,-274
1425,390,1589,-319,-138,-277
1455,380,1472,-363,-164,-257
1453,388,1377,-372,-156,-226
1447,397,1298,-363,-186,-203
1437,404,1242,-352,-262,-195
1421,409,1194,-344,-346,-198
1421,414,1140,-319,-418,-202
1469,421,1077,-262,-446,-186
1499,428,1043,-163,-399,-130
1509,428,1021,-37,-308,-46
1542,410,1022,103,-184,48
1578,392,1036,249,-43,153
1626,366,1057,392,91,267
1666,345,1099,528,219,402
1656,323,1164,652,324,555
1639,282,1250,766,363,689
1559,291,1352,818,352,812
1453,359,1409,780,285,854
1550,278,1399,703,194,823
1616,292,1344,651,194,911
1544,371,1333,696,309,991
1532,352,1429,748,398,997
1599,350,1518,758,381,1019
1616,330,1578,757,447,1117
1499,343,1673,726,567,1225
1342,342,1725,612,555,1280
1258,350,1686,460,423,1247
1255,359,1626,336,268,1142
1304,354,1587,231,117,1041
1342,380,1539,127,-11,998
1367,407,1447,41,-109,983
1410,428,1352,5,-146,984
1428,475,1278,6,-123,1029
1427,526,1210,17,-99,1097
1440,549,1150,55,-74,1149
1429,566,1122,113,-15,1182
1397,578,1118,157,48,1203
1387,580,1116,186,79,1214
1403,587,1123,207,78,1218
1425,590,1137,215,65,1226
1428,592,1131,214,37,1224
1452,608,1089,216,-8,1219
1511,646,1048,238,-51,1231
1569,699,1073,295,-79,1259
1615,796,1181,357,-111,1280
1649,968,1303,381,-162,1283
1664,1244,1387,376,-212,1241
1690,1491,1322,384,-278,1140
1802,1608,1176,513,-314,1020
1953,1615,1134,773,-253,943
2018,1513,1140,1065,-121,950
2055,1308,1208,1315,99,1041
1992,1093,1370,1498,363,1176
1861,945,1530,1576,553,1285
1748,871,1647,1526,597,1317
1727,858,1684,1402,478,1261
1795,864,1628,1275,293,1163
1897,858,1516,1203,138,1100
1967,857,1424,1198,54,1114
1992,855,1342,1243,58,1192
2008,855,1266,1328,151,1312
2044,847,1204,1447,312,1461
2088,830,1213,1581,533,1642
2077,807,1326,1706,769,1843
1969,794,1536,1766,940,2013
1800,758,1779,1711,973,2097
1700,712,1924,1545,866,2094
1649,712,1940,1337,725,2062
1579,708,1940,1152,640,2019
1484,686,1939,969,571,1968
1399,664,1873,784,493,1904
1378,635,1801,620,422,1818
1399,611,1735,478,367,1740
1389,599,1665,341,334,1691
1333,602,1564,203,303,1651
1262,630,1470,82,254,1594
1216,653,1369,-16,201,1513
1204,668,1266,-93,155,1425
1217,657,1160,-140,127,1356
1199,638,1096,-152,140,1303
1163,614,1094,-156,144,1246
1171,577,1106,-175,116,1175
1185,530,1083,-196,95,1108
1171,471,1073,-208,85,1048
1095,424,1106,-230,48,951
1068,395,1175,-295,-113,780
1144,373,1233,-404,-391,566
1260,328,1238,-539,-683,374
1378,361,1168,-656,-894,252
1528,318,1052,-698,-929,191
1557,308,1082,-620,-940,334
1554,287,1073,-543,-864,458
1608,257,1178,-404,-592,426
1709,172,1322,-316,-283,477
1724,171,1394,-278,22,655
1593,196,1465,-260,283,771
1475,183,1547,-293,396,739
1479,188,1568,-386,338,625
1565,198,1542,-476,224,508
1657,191,1526,-528,117,424
1725,179,1506,-558,24,386
1796,190,1505,-577,-52,391
1869,241,1513,-563,-82,445
1877,347,1578,-497,-30,498
1849,489,1737,-433,51,515
1839,612,1843,-419,105,487
1858,667,1874,-417,116,405
1864,636,1904,-406,109,288
1834,520,1934,-424,105,162
1832,332,1922,-494,33,36
1871,94,1864,-579,-86,-79
1888,-142,1886,-648,-162,-157
1855,-303,1922,-784,-260,-154
1800,-376,1848,-995,-389,-108
1706,-371,1733,-1183,-490,-60
1591,-297,1578,-1335,-627,-45
1591,-229,1371,-1426,-819,-60
1694,-166,1174,-1397,-932,-33
1814,-99,1041,-1252,-858,82
1863,-44,990,-1043,-580,289
1787,-9,990,-800,-248,533
1679,40,1059,-566,29,734
1576,58,1211,-403,238,822
1554,51,1354,-350,242,808
1620,22,1409,-371,118,763
1640,-12,1409,-393,28,750
1580,-45,1424,-384,-5,770
1450,-71,1474,-375,-34,788
1359,-110,1510,-392,-95,771
1295,-140,1522,-422,-142,727
1234,-175,1504,-465,-171,674
1177,-186,1446,-518,-205,622
1131,-186,1352,-568,-254,557
1117,-170,1240,-596,-304,484
1131,-165,1135,-596,-364,414
1156,-176,1063,-574,-428,351
1174,-210,1045,-542,-480,302
1193,-242,1050,-521,-524,288
1180,-258,1002,-493,-512,309
1157,-278,948,-428,-450,331
1138,-299,908,-331,-366,343
1161,-317,888,-215,-265,356
1164,-344,899,-93,-152,383
1156,-358,935,17,-50,414
1114,-364,1007,101,15,430
1049,-374,1072,144,22,412
1023,-397,1131,153,-2,354
1014,-417,1181,130,-21,288
994,-423,1214,63,-56,214
1014,-475,1228,45,-133,150
1068,-489,1247,6,-191,77
1091,-504,1216,-65,-169,36
1119,-513,1169,-82,-171,18
1171,-510,1163,-82,-144,-10
1235,-562,1189,-88,-103,-42
1271,-572,1211,-82,-106,-37
1293,-584,1243,-34,-138,-16
1323,-599,1312,-28,-153,-82
1411,-634,1371,-52,-228,-145
1504,-665,1362,-84,-284,-157
1541,-689,1335,-97,-263,-143
1616,-740,1270,-67,-185,-112
1695,-766,1253,14,-1,-32
1685,-755,1255,78,190,87
1676,-766,1229,119,308,175
1686,-769,1232,159,388,222
1653,-740,1268,165,425,247
1631,-709,1271,115,357,240
1635,-663,1274,49,214,194
1597,-576,1317,-29,47,107
1546,-469,1349,-143,-199,-29
1606,-374,1290,-249,-484,-191
1604,-289,1199,-296,-646,-329
1500,-229,1181,-284,-750,-469
1491,-256,1208,-244,-881,-651
1573,-347,1261,-205,-935,-849
1615,-420,1355,-206,-927,-1054
1806,-546,1376,-252,-982,-1277
2176,-722,1347,-272,-909,-1427
2479,-802,1335,-287,-630,-1398
2616,-815,1219,-348,-365,-1222
2738,-819,1059,-377,-265,-979
2710,-782,921,-342,-250,-703
2632,-707,865,-232,-342,-451
2523,-679,888,-116,-476,-227
2315,-578,960,-22,-575,2
2087,-490,1016,71,-572,194
1976,-443,1078,207,-455,350
1838,-369,1197,327,-160,486
1651,-315,1290,403,174,585
1539,-239,1376,455,407,595
1444,-389,1561,462,586,513
1411,-395,1756,378,567,312
1548,-423,1707,120,348,135
1732,-435,1539,-63,165,-51
1815,-406,1424,-135,119,-182
1834,-411,1293,-213,107,-211
1913,-401,1153,-254,61,-189
1945,-380,1059,-251,85,-134
1902,-359,991,-238,159,-49
1815,-331,914,-227,232,38
1680,-285,885,-192,307,101
1571,-257,886,-140,341,125
1496,-244,907,-93,358,131
1431,-234,916,-64,387,125
1383,-224,928,-45,406,101
1366,-222,957,-36,401,56
1366,-226,983,-53,389,0
1363,-233,971,-80,373,-40
1348,-208,956,-97,370,-73
1326,-192,971,-117,383,-106
1284,-167,939,-138,385,-119
1248,-158,921,-142,405,-140
1200,-147,904,-151,427,-183
1180,-101,836,-150,421,-224
1163,-58,780,-113,451,-252
1119,-28,739,-61,523,-266
1093,6,664,1,609,-275
1088,38,606,102,739,-316
1077,49,647,237,868,-373
1044,29,872,363,840,-427
1074,-64,1125,359,605,-578
1182,-101,1287,221,311,-865
1345,-95,1304,35,63,-1159
1607,-97,1214,-117,-86,-1316
1786,-51,1096,-182,-35,-1323
1886,2,1015,-194,135,-1217
1995,-29,889,-89,356,-1076
2173,-62,896,218,646,-982
2354,-131,987,529,1007,-842
2496,-219,1225,814,1348,-661
2564,-276,1548,986,1493,-492
2586,-302,1820,990,1428,-374
2564,-235,2029,861,1241,-354
2509,-112,2109,608,948,-388
2458,42,1994,350,599,-450
2380,189,1771,234,355,-528
2324,220,1663,302,257,-592
2238,161,1653,439,261,-622
2152,-4,1786,576,288,-656
2138,-247,2047,634,254,-725
2194,-466,2236,512,117,-792
2195,-611,2254,224,-74,-817
2141,-677,2146,-104,-332,-823
2076,-669,1919,-398,-635,-797
2024,-628,1604,-602,-856,-714
1885,-567,1369,-668,-926,-586
1735,-531,1248,-637,-959,-455
1695,-509,1166,-582,-1001,-317
1686,-474,1093,-509,-938,-145
1642,-421,1077,-414,-789,55
1630,-408,1100,-295,-601,255
1555,-393,1195,-164,-362,457
1434,-423,1281,-45,-175,627
1336,-686,1347,151,-22,432
1545,-159,1806,495,141,56
1262,-495,1811,-17,163,769
1074,-575,1859,-6,107,794
1109,-506,2003,64,-104,458
1144,-481,2110,-45,-129,208
1201,-430,2091,-239,-87,115
1266,-399,1972,-406,-96,150
1292,-343,1852,-492,-13,176
1300,-313,1772,-580,101,159
1354,-272,1671,-673,131,117
1399,-192,1535,-734,100,76
1399,-134,1422,-825,56,53
1396,-105,1255,-944,-16,45
1439,-78,1054,-906,-57,-25
1514,-52,979,-775,10,-119
1592,-56,941,-666,94,-127
1644,-57,897,-571,173,-58
1656,-56,858,-459,257,44
1621,-45,836,-338,327,143
1544,-38,820,-233,337,217
1490,-42,817,-141,272,258
1449,-51,835,-54,156,268
1416,-68,857,15,24,259
1379,-83,866,64,-109,237
1371,-98,877,101,-230,204
1356,-109,889,133,-321,177
1317,-111,889,153,-390,154
1281,-108,880,172,-454,117
1269,-118,869,211,-503,75
1268,-127,851,278,-520,45
1278,-126,889,348,-516,27
1307,-145,919,390,-523,24
1336,-151,943,432,-499,15
1349,-146,950,488,-405,23
1424,-171,1070,547,-294,56
1397,-206,1093,522,-268,184
1482,-214,1094,565,-259,159
1638,-258,1167,626,-187,143
1696,-301,1282,647,-111,190
1717,-322,1368,612,-145,272
1711,-367,1434,562,-246,309
1748,-404,1507,528,-358,261
1793,-438,1598,471,-454,208
1803,-464,1665,394,-555,187
1795,-500,1672,321,-670,194
1850,-543,1644,310,-778,228
1956,-585,1635,405,-817,299
2082,-646,1684,606,-780,442
2159,-757,1839,887,-686,650
2150,-869,2238,1201,-465,830
1757,-1014,2890,1352,-165,1056
1376,-1073,3460,1117,-12,1037
1230,-1022,3707,569,-20,803
1119,-943,3595,-130,149,485
1119,-806,3018,-813,244,100
1470,-638,2359,-1183,149,-354
1955,-545,1958,-1323,180,-635
2257,-509,1543,-1420,384,-634
2406,-485,1196,-1355,519,-479
2601,-447,889,-1199,540,-259
2653,-385,626,-1000,666,14
2497,-283,458,-801,782,340
2223,-195,340,-624,764,655
1997,-111,382,-443,657,871
1819,-68,523,-264,529,992
1642,-71,739,-92,424,994
1563,-103,996,9,252,877
1662,-147,1140,20,34,718
1817,-186,1213,27,-10,603
1909,-208,1294,51,110,578
1945,-205,1353,56,212,608
1970,-213,1357,43,272,623
1999,-239,1343,43,371,622
2048,-281,1403,90,480,613
2076,-321,1512,79,525,615
2072,-350,1568,-6,503,612
2045,-371,1621,-126,447,592
1977,-364,1606,-293,363,576
1868,-313,1504,-457,271,553
1769,-261,1397,-570,183,514
1688,-212,1274,-635,118,478
1621,-165,1162,-667,88,454
1574,-136,1067,-665,89,442
1507,-116,991,-636,122,445
1438,-97,929,-600,167,458
1376,-90,864,-560,212,469
1305,-74,809,-519,264,477
1234,-63,760,-479,312,471
1168,-56,728,-440,337,454
1108,-52,688,-411,340,427
1058,-47,639,-380,331,377
1007,-32,610,-344,330,321
956,-14,579,-302,332,251
930,5,520,-251,350,166
907,-9,447,-152,409,87
881,83,447,10,461,33
793,97,424,51,522,98
713,99,365,106,575,117
647,153,372,205,595,19
615,160,417,301,543,-148
657,145,507,398,474,-318
691,151,587,447,458,-437
744,148,673,457,472,-538
844,119,817,535,481,-643
968,77,1040,668,519,-780
1082,9,1313,752,598,-910
1079,11,1534,675,664,-927
1022,38,1558,483,656,-1009
1071,112,1503,346,575,-1168
1137,180,1413,287,587,-1330
1224,246,1328,291,656,-1465
1396,291,1314,410,696,-1561
1568,324,1378,619,779,-1598
1636,384,1439,823,921,-1542
1653,437,1568,1039,1067,-1442
1682,432,1909,1235,1182,-1348
1545,405,2338,1312,1298,-1321
1204,386,2741,1231,1333,-1499
802,392,3054,914,1117,-1948
597,438,3141,386,467,-2596
799,369,2838,-206,-427,-3244
1274,294,2474,-529,-1089,-3698
1648,212,2267,-626,-1251,-3894
1770,93,2125,-663,-1138,-3852
1896,11,1959,-654,-1069,-3667
2042,-89,1820,-599,-929,-3413
2178,-194,1775,-496,-665,-3108
2193,-284,1900,-374,-397,-2792
2151,-291,2006,-353,-329,-2520
2150,-259,1965,-427,-359,-2331
2159,-203,1898,-484,-335,-2198
2179,-119,1807,-512,-271,-2042
2196,6,1639,-493,-189,-1819
2166,97,1471,-375,-29,-1584
2123,146,1420,-168,175,-1371
2095,156,1438,42,393,-1167
2037,130,1546,280,632,-1005
1967,70,1780,446,771,-930
1934,-12,2010,467,705,-929
1950,-58,2160,342,504,-952
1968,-80,2172,126,304,-984
2012,-98,2057,-84,165,-998
2031,-82,1876,-227,96,-956
1977,-35,1701,-308,67,-867
