ax,ay,az,gx,gy,gz
-1113,-2674,-781,-934,-762,16
-1059,-2704,-715,-883,-985,36
-1050,-2781,-736,-893,-1075,25
-1064,-2872,-851,-891,-1117,-3
-1103,-2956,-873,-829,-1184,-43
-1186,-3038,-800,-761,-1282,-107
-1213,-3099,-819,-722,-1408,-179
-1167,-3077,-908,-694,-1515,-271
-1104,-3111,-959,-645,-1596,-344
-1086,-3170,-988,-585,-1600,-406
-1033,-3205,-1059,-471,-1505,-533
-990,-3192,-1037,-330,-1418,-661
-936,-3171,-1015,-250,-1415,-780
-880,-3216,-1086,-208,-1351,-959
-687,-3235,-1278,-135,-1233,-1178
-421,-3208,-1444,-1,-1187,-1311
-234,-3199,-1458,166,-1261,-1346
-94,-3181,-1370,305,-1415,-1347
60,-3166,-1227,415,-1544,-1328
178,-3149,-1105,470,-1550,-1311
272,-3186,-1187,480,-1481,-1301
380,-3222,-1402,561,-1409,-1282
399,-3189,-1506,746,-1318,-1231
359,-3165,-1473,955,-1313,-1179
408,-3134,-1356,1131,-1331,-1194
488,-3079,-1277,1238,-1197,-1287
617,-3018,-1332,1303,-921,-1365
665,-2985,-1342,1398,-671,-1396
708,-2890,-1265,1500,-554,-1392
757,-2787,-1180,1570,-432,-1413
860,-2717,-1116,1608,-348,-1416
906,-2641,-1101,1641,-352,-1347
925,-2551,-1031,1682,-421,-1251
1029,-2490,-978,1686,-422,-1186
1079,-2405,-935,1674,-269,-1138
1012,-2347,-887,1660,-171,-1075
1001,-2244,-771,1650,-159,-1023
971,-2170,-678,1595,-18,-1035
892,-2096,-560,1511,195,-1113
929,-2024,-471,1410,436,-1267
1100,-1972,-554,1318,829,-1453
1217,-1906,-634,1291,1064,-1494
1254,-1781,-593,1313,1080,-1392
1302,-1700,-492,1290,1080,-1286
1328,-1646,-448,1241,1033,-1134
1263,-1591,-337,1200,1015,-974
1158,-1573,-266,1115,1113,-922
1131,-1532,-216,991,1244,-965
1088,-1487,-140,837,1320,-993
1035,-1434,-78,666,1222,-957
1104,-1398,-146,497,1010,-892
1204,-1412,-308,410,1021,-808
1291,-1368,-474,433,1270,-661
1258,-1340,-513,542,1359,-390
1027,-1309,-348,666,1246,-123
795,-1273,-183,670,1244,-36
729,-1235,-72,591,1455,-145
712,-1182,19,476,1760,-313
703,-1148,40,339,1945,-420
819,-1113,39,226,2050,-467
922,-1091,-25,149,2196,-430
926,-1066,-66,124,2183,-252
917,-1046,-41,139,1938,28
871,-990,44,163,1675,308
758,-914,152,138,1422,540
665,-888,217,23,1332,637
477,-956,114,-137,1479,622
414,-1003,-43,-221,1656,532
437,-1008,-104,-236,1821,446
377,-1017,-82,-245,1952,434
359,-1036,-92,-259,2053,433
389,-1045,-215,-271,2125,453
358,-1034,-245,-217,2125,535
267,-974,-125,-143,2050,629
135,-873,46,-132,1993,701
1,-774,146,-202,1916,765
-129,-742,145,-305,1861,811
-282,-734,130,-394,1850,844
-390,-756,120,-487,1833,824
-436,-835,37,-571,1831,765
-439,-874,-38,-588,1844,704
-510,-903,-14,-568,1762,692
-624,-937,47,-559,1737,652
-668,-949,59,-588,1815,544
-642,-978,40,-635,1829,455
-612,-1004,47,-656,1759,435
-620,-1022,101,-677,1652,465
-702,-1061,148,-725,1573,479
-801,-1118,155,-790,1526,456
-848,-1100,171,-855,1507,413
-878,-1124,147,-968,1476,373
-926,-1187,57,-1065,1292,398
-954,-1258,31,-1105,1050,445
-989,-1305,51,-1129,937,455
-1053,-1319,73,-1176,879,461
-1121,-1385,49,-1234,814,476
-1176,-1414,-34,-1285,785,474
-1213,-1490,-187,-1324,764,479
-1375,-1604,-319,-1302,730,534
-1577,-1692,-287,-1214,552,615
-1691,-1755,-88,-1148,283,643
-1793,-1808,65,-1180,127,611
-1869,-1872,3,-1262,166,519
-1928,-1905,-213,-1314,274,400
-1993,-1960,-244,-1289,229,325
-2005,-1998,-98,-1250,27,239
-1913,-1967,61,-1274,-63,114
-1842,-2045,81,-1368,-30,32
-1727,-2110,-57,-1453,-26,-1
-1655,-2160,-151,-1472,-203,61
-1685,-2277,-182,-1451,-560,218
-1789,-2368,-112,-1409,-770,279
-1865,-2425,-142,-1420,-793,211
-1947,-2506,-185,-1437,-723,88
-1973,-2581,-222,-1448,-786,-43
-1869,-2697,-269,-1480,-959,-166
-1769,-2841,-352,-1488,-1028,-272
