ax,ay,az,gx,gy,gz
-1893,-1058,106,927,2074,3281
-2502,-1198,257,583,2330,2684
-2994,-1459,242,213,2526,2008
-3211,-1778,119,-46,2495,1396
-3136,-2023,27,-171,2159,959
-2993,-2203,-80,-204,1646,763
-2985,-2308,-112,-123,1081,700
-3106,-2324,-16,-25,572,556
-3258,-2260,90,31,189,250
-3342,-2157,193,44,-155,-134
-3373,-2040,355,13,-473,-549
-3320,-1909,469,-100,-687,-1006
-3174,-1843,420,-292,-870,-1497
-2932,-1822,205,-494,-1125,-1970
-2589,-1774,-1,-631,-1413,-2378
-2156,-1690,-182,-712,-1705,-2692
-1712,-1619,-370,-766,-1952,-2902
-1351,-1578,-585,-792,-2092,-3059
-944,-1539,-777,-770,-2152,-3221
-559,-1527,-910,-666,-2155,-3383
-219,-1506,-1106,-546,-2163,-3491
94,-1494,-1252,-400,-2160,-3544
391,-1492,-1330,-238,-2067,-3588
704,-1509,-1375,-95,-1995,-3601
885,-1519,-1381,85,-2001,-3520
991,-1456,-1315,327,-2110,-3297
1106,-1333,-1156,563,-2321,-2957
1297,-1126,-927,725,-2564,-2632
1602,-929,-724,741,-2643,-2426
1966,-840,-596,682,-2505,-2322
2276,-806,-509,594,-2293,-2244
2505,-819,-503,448,-2011,-2195
2580,-976,-556,313,-1717,-2092
2604,-1067,-546,384,-1650,-1849
2570,-956,-450,523,-1821,-1430
2500,-771,-254,592,-2003,-1022
2577,-641,-19,499,-1947,-876
2791,-545,133,266,-1615,-1008
3028,-510,179,1,-1133,-1241
3340,-552,119,-265,-620,-1446
3626,-677,19,-483,-176,-1485
3857,-755,34,-584,71,-1329
4045,-845,69,-662,181,-1073
4240,-988,-74,-774,253,-785
4388,-1171,-299,-828,276,-439
4413,-1299,-584,-789,276,-27
4381,-1398,-860,-768,329,425
4271,-1530,-1098,-742,541,871
4037,-1597,-1181,-599,794,1285
3685,-1554,-1110,-411,1025,1635
3359,-1451,-976,-269,1219,1922
3046,-1388,-884,-208,1416,2153
2722,-1351,-836,-165,1599,2332
2424,-1313,-810,-114,1736,2460
2181,-1260,-769,-52,1794,2573
1983,-1197,-750,-19,1820,2702
1807,-1150,-753,-19,1870,2836
1614,-1164,-820,-45,1923,2960
1366,-1236,-999,-35,1965,3057
1123,-1268,-1127,64,2006,3110
943,-1279,-1160,171,2087,3129
767,-1278,-1130,290,2163,3150
514,-1242,-1018,433,2201,3171
236,-1174,-880,572,2210,3175
44,-1090,-656,703,2156,3192
-114,-994,-380,722,2046,3229
-434,-992,-222,614,1913,3268
-917,-1099,-273,424,1808,3250
-1392,-1267,-448,234,1767,3127
-1825,-1458,-616,144,1747,2898
-2099,-1599,-642,159,1695,2545
-2219,-1654,-535,237,1623,2164
-2237,-1622,-332,316,1473,1867
-2250,-1531,-47,370,1180,1654
-2369,-1448,274,337,902,1475
-2626,-1459,563,172,733,1236
-2981,-1563,646,-125,648,883
-3262,-1747,520,-437,520,460
-3370,-1926,310,-608,221,16
-3201,-1959,188,-615,-173,-425
-2893,-1908,169,-583,-464,-847
-2603,-1862,126,-650,-642,-1263
