ax,ay,az,gx,gy,gz
2,-2084,-470,14,44,73
-10,-2080,-408,30,-12,90
-13,-2058,-374,32,-15,84
-6,-2051,-349,22,-9,75
-16,-2053,-334,9,-3,57
-17,-2053,-331,-5,5,32
-12,-2047,-340,-25,2,17
-8,-2039,-330,-40,-1,2
17,-2029,-338,-55,20,-16
30,-2028,-374,-77,23,-29
36,-2047,-401,-91,22,-34
57,-2061,-432,-100,32,-41
75,-2073,-468,-93,23,-40
94,-2075,-472,-72,2,-24
107,-2082,-473,-56,-11,-7
111,-2076,-477,-39,-28,16
91,-2096,-472,-20,-38,53
59,-2093,-471,-5,-32,72
35,-2081,-453,10,-18,64
26,-2081,-439,9,-8,56
13,-2094,-440,5,-13,48
8,-2090,-424,9,-18,39
21,-2061,-387,13,-25,36
31,-2045,-356,7,-22,33
32,-2036,-353,-15,-17,20
43,-2044,-363,-41,-7,-1
58,-2050,-385,-55,-1,-17
65,-2047,-399,-61,-4,-17
69,-2045,-412,-67,-4,-10
83,-2047,-430,-72,-11,-3
94,-2060,-448,-73,-18,7
92,-2063,-457,-67,-21,11
86,-2067,-459,-55,-22,19
77,-2070,-470,-48,-26,36
77,-2072,-465,-36,-33,51
73,-2062,-435,-29,-27,63
38,-2077,-447,-37,-27,71
18,-2107,-474,-41,-29,69
6,-2118,-477,-28,-26,62
-13,-2117,-485,-13,-23,54
-31,-2118,-476,0,-19,43
-31,-2114,-463,16,-16,26
-30,-2086,-450,23,-11,8
-27,-2071,-419,20,-15,-9
2,-2052,-406,6,-16,-20
27,-2049,-415,-15,-3,-26
30,-2057,-440,-23,-2,-24
38,-2056,-443,-16,-16,-20
51,-2043,-422,-2,-28,-16
75,-2029,-411,-1,-35,-4
82,-2032,-405,-11,-28,15
68,-2039,-428,-18,-18,20
59,-2052,-437,-23,-11,13
55,-2046,-433,-21,-10,10
52,-2042,-425,-20,-12,10
47,-2042,-415,-25,-18,12
45,-2029,-400,-25,-18,12
43,-2017,-381,-35,-20,12
44,-2024,-392,-60,-15,11
46,-2041,-416,-80,-3,5
44,-2057,-444,-84,-2,1
40,-2069,-464,-74,-10,3
38,-2071,-471,-66,-20,15
35,-2083,-483,-56,-22,28
20,-2092,-488,-50,-25,38
10,-2094,-491,-42,-20,36
12,-2094,-491,-30,-16,32
8,-2091,-486,-14,-23,32
9,-2081,-473,0,-26,36
5,-2077,-463,7,-23,38
5,-2066,-435,18,-27,38
11,-2038,-398,22,-22,31
10,-2017,-365,8,-22,25
11,-2015,-363,-15,-21,21
32,-2021,-380,-37,-11,16
41,-2033,-406,-53,-15,16
44,-2040,-421,-56,-25,17
52,-2045,-430,-57,-28,17
50,-2057,-444,-58,-26,17
55,-2066,-462,-58,-16,16
55,-2073,-478,-56,-13,20
43,-2087,-494,-52,-15,23
37,-2099,-496,-47,-7,22
29,-2101,-504,-32,-6,25
19,-2096,-486,-16,-15,34
3,-2090,-459,-5,-25,42
-6,-2076,-440,1,-29,34
-7,-2069,-415,0,-23,22
-11,-2067,-415,-13,-17,12
0,-2062,-416,-24,-18,-3
12,-2059,-415,-32,-16,-14
24,-2056,-436,-40,-16,-15
32,-2058,-441,-45,-19,-9
28,-2055,-450,-45,-24,-4
26,-2058,-463,-39,-22,-8
34,-2054,-461,-31,-22,-7
31,-2057,-465,-23,-28,5
19,-2057,-462,-10,-37,18
4,-2045,-433,-1,-44,27
-19,-2036,-411,-3,-41,31
-24,-2028,-401,-17,-34,24
-19,-2040,-423,-34,-25,12
-3,-2048,-438,-44,-19,-1
8,-2051,-450,-43,-23,3
-2,-2060,-461,-38,-45,21
-4,-2071,-465,-28,-68,36
-12,-2064,-455,-14,-73,37
5,-2040,-434,-9,-69,27
20,-2027,-418,-21,-53,14
45,-2022,-424,-52,-6,-2
44,-2049,-460,-75,17,-13
62,-2059,-488,-74,-25,-6
80,-2063,-489,-62,-35,1
75,-2052,-474,-48,-31,12
44,-2039,-470,-47,-28,24
27,-2041,-460,-49,-28,24
14,-2027,-434,-45,-15,9
12,-2003,-406,-48,-20,-2
24,-1980,-365,-62,-36,-3
31,-1954,-336,-91,-27,-11
40,-1951,-341,-135,-19,-19
48,-1947,-353,-180,1,-31
51,-1947,-367,-218,7,-40
67,-1956,-412,-258,-7,-42
81,-1984,-479,-289,7,-39
83,-2032,-545,-299,17,-31
81,-2058,-598,-288,18,-39
86,-2076,-639,-270,16,-43
106,-2104,-679,-251,22,-32
100,-2123,-718,-210,18,-4
66,-2143,-728,-161,12,40
46,-2157,-721,-116,15,72
36,-2144,-692,-65,23,80
19,-2130,-653,-28,28,86
12,-2127,-614,-9,40,86
4,-2114,-575,5,53,84
-28,-2110,-550,15,62,85
-45,-2113,-534,23,54,89
-40,-2100,-498,36,40,92
-41,-2072,-449,38,38,84
-42,-2058,-436,18,50,61
-44,-2060,-444,-8,54,36
-33,-2039,-427,-22,48,14
-24,-2021,-415,-38,51,-9
-3,-2002,-412,-63,53,-29
16,-1994,-429,-96,53,-49
46,-2013,-470,-133,59,-71
79,-2029,-536,-149,68,-84
99,-2045,-565,-142,72,-81
89,-2053,-591,-121,80,-68
72,-2046,-578,-94,68,-54
39,-2026,-554,-80,58,-40
18,-2025,-559,-84,61,-31
22,-2036,-576,-91,75,-32
23,-2041,-592,-94,101,-29
6,-2066,-619,-95,100,-21
10,-2084,-639,-79,84,-8
19,-2074,-628,-52,73,9
10,-2079,-610,-25,64,30
9,-2070,-604,-5,62,39
17,-2066,-597,13,62,41
-2,-2066,-585,32,68,40
-29,-2049,-556,51,67,39
-29,-2032,-519,62,60,41
-28,-2013,-479,58,57,41
-25,-1997,-453,45,48,31
2,-1989,-430,20,46,15
22,-1987,-437,-9,47,3
30,-1999,-464,-26,39,1
18,-2010,-486,-36,33,0
17,-2022,-505,-42,28,-1
27,-2034,-519,-42,20,-3
37,-2033,-523,-39,21,-5
39,-2033,-533,-35,11,-2
31,-2047,-537,-29,-4,0
20,-2053,-542,-18,-6,-9
6,-2026,-542,-7,-2,-3
9,-2034,-520,-5,-11,26
28,-2027,-503,-12,-18,45
30,-2040,-514,-24,-16,58
34,-2019,-539,-36,-13,67
46,-2039,-544,-49,-26,106
72,-2046,-572,-52,-14,117
58,-2046,-566,-37,36,99
17,-2042,-562,-30,76,91
-11,-2049,-556,-26,64,90
-11,-2059,-549,-22,41,75
2,-2056,-557,-13,17,66
8,-2056,-552,-6,5,66
12,-2052,-546,-6,16,56
13,-2036,-537,-9,19,45
-2,-2047,-534,-15,18,45
-9,-2044,-536,-21,11,33
9,-2052,-549,-26,23,13
9,-2058,-550,-24,21,13
5,-2058,-549,-29,20,20
-7,-2056,-545,-29,12,21
0,-2048,-541,-25,-7,18
12,-2051,-559,-25,-1,16
21,-2055,-577,-28,5,17
27,-2054,-582,-26,7,18
39,-2086,-600,-21,26,-18
-21,-2019,-573,8,30,-58
-14,-2008,-536,-12,-34,30
7,-2039,-549,-30,-44,50
5,-2036,-571,-31,5,11
-13,-2048,-589,-29,41,0
3,-2048,-589,-21,23,-24
18,-2039,-587,-12,29,-34
2,-2037,-585,-5,16,0
7,-2051,-589,8,2,25
20,-2035,-563,26,8,18
24,-2009,-539,28,17,12
16,-2012,-541,18,12,19
7,-2036,-549,17,7,26
3,-2022,-541,26,0,31
5,-2013,-532,23,-16,42
7,-2018,-526,17,-28,48
-3,-2018,-519,13,-16,39
-12,-2025,-534,4,18,17
-3,-2036,-547,-3,27,1
16,-2035,-543,9,22,-9
37,-2013,-539,11,17,-4
23,-2015,-523,17,1,11
22,-1966,-495,23,-10,16
28,-1929,-452,11,-8,18
24,-1918,-434,-26,1,21
35,-1921,-456,-79,36,8
43,-1968,-490,-125,67,-12
53,-1976,-544,-159,107,-36
41,-2041,-609,-177,113,-41
27,-2063,-651,-153,102,-40
27,-2056,-649,-113,80,-32
38,-2059,-639,-84,46,-10
29,-2060,-624,-65,35,11
5,-2056,-602,-51,20,21
-8,-2052,-576,-50,9,26
-16,-2051,-557,-59,15,29
-38,-2055,-537,-67,14,31
-66,-2057,-527,-79,23,23
-74,-2070,-538,-95,30,6
-47,-2091,-559,-106,28,-9
-8,-2092,-572,-101,31,-20
16,-2090,-571,-88,37,-23
6,-2083,-563,-73,30,-13
0,-2078,-549,-62,16,-6
-1,-2059,-543,-59,4,-10
20,-2047,-538,-61,-3,-10
40,-2034,-540,-68,5,-8
55,-2015,-565,-74,22,-17
58,-2020,-589,-79,29,-23
60,-2034,-619,-72,45,-27
48,-2026,-627,-57,58,-29
34,-2026,-622,-42,51,-22
23,-2037,-638,-24,53,-14
25,-2035,-632,4,31,-3
13,-2019,-596,29,3,20
-4,-2010,-559,28,1,32
-22,-2016,-555,7,4,24
-22,-2041,-576,-11,15,10
-20,-2059,-607,-14,32,2
-21,-2069,-620,-5,19,2
-22,-2064,-619,12,10,13
-21,-2062,-615,29,0,25
-35,-2061,-601,44,-1,24
-39,-2049,-577,49,3,11
-26,-2047,-564,45,0,3
-12,-2044,-559,38,-6,4
-20,-2035,-553,33,-10,5
-16,-2035,-555,28,-21,3
0,-2038,-548,27,-34,7
3,-2032,-549,21,-35,9
11,-2036,-563,10,-29,-3
29,-2042,-584,4,-25,-18
44,-2048,-596,8,-18,-21
39,-2035,-594,15,-23,-16
38,-2037,-593,17,-26,-11
47,-2026,-582,20,-25,-7
56,-2017,-564,23,-26,-4
66,-2008,-559,14,-16,-6
66,-2013,-569,0,-2,-12
57,-2028,-581,-9,14,-16
43,-2028,-586,-7,15,-16
29,-2038,-590,-4,0,-4
30,-2039,-590,7,-19,12
14,-2036,-572,17,-22,30
0,-2034,-565,13,-21,37
13,-2036,-562,5,-13,42
4,-2054,-565,3,-11,39
-16,-2037,-559,14,-5,15
-15,-2020,-544,19,-14,5
9,-2000,-520,12,-24,12
21,-1990,-515,-4,-9,13
21,-2006,-538,-27,8,10
20,-2027,-573,-32,15,-9
22,-2034,-594,-17,9,-25
23,-2018,-571,2,-10,-19
15,-2000,-540,9,-26,4
12,-1990,-517,5,-37,19
9,-1976,-500,-13,-24,13
13,-1984,-507,-40,-10,0
8,-1996,-536,-57,-3,-8
13,-2011,-553,-61,-5,-5
24,-2018,-561,-59,-10,9
34,-2017,-572,-56,-8,16
29,-2028,-580,-58,2,13
16,-2057,-616,-56,3,8
9,-2079,-641,-38,2,4
8,-2070,-633,-15,-6,8
6,-2070,-609,1,-17,21
-2,-2068,-595,10,-22,28
-9,-2066,-579,16,-31,26
-5,-2057,-560,19,-40,20
-6,-2034,-538,16,-34,12
-12,-2033,-544,1,-23,6
-3,-2049,-550,-8,-18,-6
8,-2043,-558,-12,-8,-19
12,-2048,-581,-18,-11,-19
31,-2049,-592,-12,-22,-12
40,-2037,-591,0,-28,-3
40,-2027,-578,9,-31,3
27,-2013,-566,9,-32,7
