ax,ay,az,gx,gy,gz
1614,-1638,-1442,-1445,-78,20
1732,-1737,-1559,-1479,90,-3
1777,-1822,-1646,-1452,201,59
1754,-1893,-1703,-1384,266,176
1660,-1916,-1709,-1293,308,277
1495,-1894,-1626,-1213,375,315
1367,-1878,-1550,-1199,511,251
1341,-1918,-1567,-1222,652,157
1326,-2010,-1602,-1209,694,122
1323,-2072,-1593,-1150,666,136
1389,-2104,-1578,-1083,609,196
1443,-2138,-1566,-1022,549,290
1469,-2196,-1595,-978,539,372
1493,-2281,-1694,-925,599,405
1452,-2369,-1795,-835,677,407
1428,-2418,-1854,-719,777,371
1459,-2429,-1877,-591,914,315
1444,-2437,-1880,-469,1051,302
1397,-2496,-1926,-346,1145,313
1365,-2534,-1981,-169,1181,322
1314,-2524,-1979,50,1184,362
1221,-2446,-1894,266,1185,425
1128,-2323,-1769,441,1184,483
1069,-2218,-1637,547,1235,519
972,-2102,-1523,606,1324,539
912,-2020,-1454,645,1383,492
1050,-1962,-1392,685,1467,394
1120,-1793,-1376,728,1598,377
1028,-1654,-1384,762,1587,447
994,-1592,-1382,776,1497,538
1003,-1525,-1384,795,1404,677
958,-1437,-1381,838,1290,872
895,-1332,-1313,879,1184,1050
816,-1200,-1203,884,1153,1142
716,-1089,-1109,828,1240,1119
614,-1053,-1056,720,1394,1014
533,-1044,-1042,610,1516,901
498,-1021,-1036,540,1522,858
469,-999,-1017,501,1404,923
430,-969,-978,462,1252,1048
373,-968,-935,406,1154,1156
284,-996,-913,353,1089,1211
266,-997,-894,329,1004,1231
262,-954,-824,302,941,1250
214,-950,-785,239,900,1252
141,-972,-742,159,916,1171
45,-974,-673,95,967,1104
5,-993,-626,-29,976,978
14,-1025,-630,-165,970,840
68,-1041,-657,-275,914,793
136,-1088,-692,-362,823,803
186,-1085,-687,-411,723,850
170,-1087,-670,-474,636,927
126,-1114,-671,-544,579,954
103,-1139,-674,-602,542,919
73,-1153,-686,-657,507,864
51,-1184,-727,-714,504,789
67,-1209,-752,-768,497,717
114,-1201,-728,-816,459,686
116,-1210,-708,-888,421,695
74,-1274,-765,-983,394,717
29,-1356,-823,-1047,333,745
8,-1429,-876,-1081,236,788
-40,-1488,-927,-1097,105,857
-127,-1565,-979,-1100,-16,924
-177,-1635,-986,-1087,-128,971
-225,-1676,-965,-1069,-238,1009
-290,-1686,-940,-1078,-311,1017
-367,-1740,-941,-1115,-345,968
-429,-1812,-982,-1154,-361,833
-448,-1897,-1074,-1181,-320,618
-396,-2001,-1190,-1193,-258,417
-330,-2119,-1306,-1171,-249,291
-251,-2200,-1362,-1102,-318,252
-202,-2227,-1332,-1014,-442,292
-256,-2257,-1279,-935,-581,371
-353,-2284,-1235,-872,-707,429
-421,-2280,-1219,-817,-833,444
-486,-2279,-1213,-769,-961,412
-480,-2249,-1214,-734,-1030,316
-350,-2230,-1209,-747,-1002,153
-217,-2272,-1274,-807,-869,-66
-72,-2370,-1439,-822,-721,-297
131,-2437,-1582,-749,-652,-420
263,-2447,-1607,-611,-682,-361
231,-2472,-1587,-472,-793,-169
71,-2454,-1555,-327,-976,33
-100,-2405,-1476,-192,-1157,188
-259,-2347,-1420,-97,-1333,289
-441,-2291,-1395,-30,-1470,309
-527,-2269,-1362,0,-1523,210
-312,-2242,-1305,-45,-1388,-69
26,-2289,-1365,-143,-1052,-430
199,-2424,-1519,-173,-788,-677
347,-2493,-1643,-69,-718,-770
522,-2448,-1640,125,-796,-686
531,-2409,-1617,290,-936,-456
539,-2350,-1550,402,-1002,-291
613,-2346,-1494,431,-887,-300
659,-2417,-1543,431,-704,-436
638,-2475,-1631,497,-555,-585
597,-2433,-1629,625,-505,-651
545,-2330,-1536,717,-476,-634
512,-2300,-1509,735,-403,-598
402,-2349,-1560,772,-379,-558
305,-2323,-1580,869,-412,-531
284,-2259,-1557,961,-436,-520
335,-2205,-1522,1010,-436,-484
406,-2106,-1454,1045,-385,-460
331,-2084,-1415,1049,-281,-488
160,-2089,-1389,1053,-153,-563
93,-2017,-1326,1078,-44,-682
156,-1929,-1252,1089,4,-766
208,-1891,-1225,1070,45,-784
218,-1871,-1231,1062,20,-760
238,-1840,-1227,1086,-60,-729
194,-1828,-1229,1098,-118,-685
112,-1827,-1234,1110,-135,-669
97,-1796,-1192,1134,-125,-707
114,-1749,-1133,1142,-98,-755
124,-1737,-1104,1133,-75,-780
122,-1714,-1067,1132,-87,-778
86,-1656,-1006,1144,-145,-752
25,-1584,-919,1127,-191,-736
10,-1526,-853,1071,-168,-766
14,-1476,-834,1012,-164,-798
32,-1439,-823,960,-218,-793
61,-1412,-819,903,-265,-779
80,-1415,-852,858,-313,-768
130,-1363,-827,844,-369,-765
130,-1326,-803,811,-367,-755
124,-1315,-807,761,-369,-745
119,-1287,-798,722,-398,-749
112,-1256,-778,678,-437,-748
113,-1261,-811,610,-440,-751
125,-1268,-842,558,-463,-733
118,-1249,-839,523,-519,-695
118,-1240,-855,477,-552,-680
185,-1230,-855,434,-552,-694
226,-1198,-814,407,-572,-691
227,-1154,-771,373,-597,-686
256,-1122,-744,320,-598,-709
293,-1115,-717,262,-608,-728
247,-1114,-736,186,-610,-730
198,-1136,-764,117,-617,-739
164,-1134,-771,73,-682,-725
153,-1091,-768,26,-810,-678
243,-1080,-754,-56,-886,-653
416,-1107,-754,-166,-852,-688
605,-1107,-798,-244,-766,-770
765,-1102,-796,-282,-681,-853
875,-1099,-800,-316,-624,-865
951,-1085,-764,-333,-657,-784
925,-1071,-686,-368,-725,-654
814,-1076,-667,-443,-781,-535
733,-1108,-686,-535,-831,-441
683,-1175,-702,-618,-903,-364
715,-1223,-751,-699,-934,-359
828,-1218,-770,-775,-908,-438
1051,-1181,-799,-856,-780,-579
1174,-1250,-902,-959,-554,-712
1183,-1330,-1025,-1004,-423,-778
1270,-1282,-1062,-975,-417,-775
1359,-1206,-1035,-964,-446,-702
1348,-1186,-1038,-1010,-435,-609
1307,-1197,-1084,-1069,-410,-555
1390,-1249,-1117,-1133,-374,-543
1547,-1336,-1156,-1206,-304,-518
1635,-1401,-1199,-1253,-242,-457
1661,-1459,-1198,-1265,-172,-416
1658,-1487,-1219,-1283,-54,-442
1662,-1556,-1319,-1301,95,-482
1760,-1638,-1414,-1310,223,-496
1842,-1733,-1464,-1297,311,-427
1856,-1848,-1479,-1264,332,-274
1788,-1959,-1484,-1205,278,-72
1668,-1974,-1420,-1121,182,117
1550,-1919,-1338,-1074,171,183
1424,-1928,-1357,-1109,305,114
1365,-1971,-1441,-1142,489,-26
1413,-2002,-1500,-1123,654,-154
1493,-2034,-1548,-1058,766,-206
1583,-2093,-1590,-955,784,-156
1668,-2165,-1585,-845,733,5
1665,-2257,-1561,-745,646,243
1601,-2308,-1538,-641,563,434
1471,-2341,-1529,-550,543,508
1352,-2360,-1555,-483,651,433
1324,-2397,-1606,-429,862,241
1386,-2433,-1691,-348,1055,66
1466,-2378,-1714,-201,1134,12
1440,-2259,-1636,-46,1138,96
1320,-2140,-1518,70,1146,202
1224,-2051,-1423,151,1164,237
1181,-1993,-1399,205,1157,258
1188,-1956,-1417,236,1144,313
1188,-1936,-1447,267,1147,368
1129,-1918,-1487,325,1158,398
1076,-1870,-1486,416,1187,396
1062,-1799,-1452,504,1212,391
1069,-1758,-1443,583,1223,423
1024,-1664,-1420,667,1223,487
939,-1526,-1332,752,1197,523
947,-1392,-1212,778,1173,515
1023,-1291,-1127,741,1170,518
1026,-1224,-1084,672,1159,567
951,-1186,-1052,595,1152,616
903,-1154,-1046,511,1182,631
931,-1133,-1068,438,1185,653
957,-1114,-1087,402,1131,726
951,-1091,-1097,386,1084,814
954,-1067,-1107,390,1027,889
918,-1010,-1057,419,947,974
857,-908,-940,412,899,1050
800,-856,-835,335,930,1075
718,-888,-847,209,1004,1044
704,-947,-920,107,1019,1008
725,-985,-977,45,979,1040
706,-1005,-977,8,900,1147
669,-996,-947,-15,799,1268
642,-968,-896,-36,704,1361
585,-934,-841,-64,631,1418
502,-884,-801,-104,594,1420
459,-834,-754,-167,613,1365
393,-836,-742,-261,702,1302
360,-887,-732,-371,770,1244
377,-938,-746,-467,765,1192
360,-978,-761,-530,677,1260
272,-1007,-748,-586,553,1385
187,-1032,-730,-654,489,1434
87,-1073,-733,-726,482,1406
-10,-1139,-760,-795,504,1320
-49,-1191,-790,-844,498,1224
-66,-1219,-775,-881,448,1173
-109,-1265,-791,-938,407,1148
-183,-1346,-804,-988,379,1129
-260,-1425,-803,-1011,298,1116
-308,-1470,-801,-1030,159,1129
-376,-1521,-796,-1068,22,1151
-454,-1585,-820,-1121,-85,1136
-516,-1660,-870,-1163,-141,1043
-496,-1747,-944,-1203,-98,862
-412,-1866,-1043,-1218,-38,644
-319,-1966,-1113,-1174,-81,509
-270,-2022,-1113,-1107,-221,516
-279,-2061,-1039,-1063,-377,576
-364,-2134,-1023,-1056,-491,570
-423,-2208,-1075,-1045,-578,470
-418,-2255,-1114,-1021,-609,317
-422,-2289,-1186,-1013,-563,155
-485,-2348,-1290,-981,-553,20
-570,-2414,-1376,-909,-600,-87
-522,-2395,-1376,-826,-696,-165
-402,-2355,-1344,-767,-794,-230
-230,-2376,-1367,-750,-818,-336
42,-2392,-1429,-735,-780,-473
262,-2406,-1480,-673,-765,-538
368,-2425,-1503,-576,-796,-481
329,-2404,-1469,-455,-881,-337
146,-2354,-1395,-345,-985,-199
-35,-2310,-1341,-281,-1070,-153
-118,-2295,-1335,-256,-1114,-217
-61,-2279,-1394,-252,-1120,-341
171,-2286,-1415,-256,-1029,-531
484,-2340,-1520,-264,-807,-774
803,-2396,-1636,-187,-628,-941
1037,-2401,-1670,-49,-536,-929
1191,-2389,-1655,108,-537,-743
1168,-2357,-1586,254,-634,-455
1045,-2347,-1509,357,-723,-220
857,-2316,-1451,444,-760,-114
661,-2300,-1423,484,-701,-125
528,-2328,-1469,481,-587,-207
463,-2343,-1498,503,-511,-302
505,-2338,-1488,531,-424,-411
567,-2365,-1547,568,-302,-520
615,-2361,-1573,658,-249,-575
649,-2300,-1530,757,-219,-557
609,-2265,-1521,826,-207,-475
546,-2241,-1498,909,-240,-393
474,-2192,-1442,991,-273,-344
346,-2145,-1389,1050,-317,-293
204,-2097,-1339,1093,-359,-284
107,-2053,-1276,1110,-371,-348
64,-2032,-1259,1088,-320,-468
85,-2020,-1285,1077,-270,-582
148,-1984,-1292,1085,-278,-647
243,-1914,-1253,1098,-288,-678
321,-1900,-1246,1100,-269,-699
361,-1873,-1231,1124,-274,-689
387,-1801,-1174,1162,-297,-653
367,-1773,-1142,1172,-310,-605
306,-1766,-1143,1175,-323,-573
285,-1735,-1132,1185,-316,-591
314,-1673,-1087,1179,-305,-613
314,-1659,-1089,1129,-280,-637
269,-1699,-1150,1074,-219,-692
