ax,ay,az,gx,gy,gz
545,-1684,-1315,94,1083,3638
416,-1794,-1522,309,1008,3811
313,-1799,-1579,647,907,3997
191,-1723,-1500,1011,811,4201
65,-1545,-1357,1390,661,4441
-38,-1239,-1096,1774,436,4723
-287,-858,-713,2055,235,5041
-912,-603,-362,2115,285,5215
-1787,-537,-31,1998,520,5066
-2700,-597,211,1755,727,4527
-3485,-763,223,1425,926,3698
-3826,-999,54,1141,1107,2781
-3691,-1156,-96,997,1091,2041
-3443,-1235,-78,989,905,1596
-3332,-1232,157,978,710,1308
-3281,-1152,458,851,591,965
-3274,-1108,676,658,512,553
-3313,-1117,758,425,462,153
-3320,-1152,790,199,394,-234
-3256,-1148,830,35,236,-582
-3192,-1141,879,-122,67,-910
-3171,-1129,866,-311,-114,-1266
-3129,-1112,819,-529,-279,-1671
-3021,-1107,755,-771,-345,-2125
-2859,-1132,587,-1008,-363,-2578
-2566,-1145,352,-1170,-549,-2936
-2237,-1166,116,-1265,-902,-3128
-1995,-1164,-32,-1300,-1296,-3197
-1787,-1107,-137,-1304,-1661,-3276
-1610,-1052,-200,-1324,-1867,-3462
-1501,-1046,-329,-1401,-1857,-3782
-1302,-1046,-553,-1469,-1738,-4247
-969,-1069,-796,-1442,-1654,-4730
-584,-1069,-990,-1355,-1569,-5077
-160,-1073,-1165,-1212,-1484,-5267
232,-1077,-1241,-1042,-1494,-5284
518,-1008,-1237,-878,-1588,-5148
827,-1043,-1235,-761,-1645,-4978
1157,-1017,-1240,-632,-1776,-4732
1502,-941,-1260,-491,-1964,-4462
1936,-886,-1245,-423,-2069,-4149
2314,-935,-1214,-370,-2064,-3777
2569,-1044,-1240,-289,-2039,-3352
2842,-1161,-1294,-143,-2000,-2886
2948,-1276,-1331,102,-2003,-2310
2813,-1250,-1318,424,-2191,-1621
2597,-1024,-1116,724,-2467,-1027
2608,-765,-735,767,-2492,-798
2864,-605,-404,531,-2132,-883
3158,-630,-350,213,-1632,-1055
3415,-721,-500,-28,-1127,-1204
3604,-764,-610,-93,-760,-1187
3808,-735,-552,-69,-554,-1017
4057,-682,-416,-103,-364,-770
4279,-671,-338,-207,-124,-467
4451,-722,-367,-331,110,-119
